Link,Price,Price per m2,Square,Floor,Floors,Rooms,Is Apartment?,Year,Time to metro,Okrug,District
https://www.cian.ru/sale/flat/301651918/,9390000,225180,41.7,12,16,1,True,1991,11,НАО (Новомосковский),Внуковское поселение
https://www.cian.ru/sale/flat/301651498/,15500000,411141,37.7,8,17,1,False,1991,18,НАО (Новомосковский),Внуковское поселение
https://www.cian.ru/sale/flat/301651160/,12000000,254237,47.2,1,4,2,False,2013,8,НАО (Новомосковский),Сосенское поселение
https://www.cian.ru/sale/flat/301650997/,8500000,224274,37.9,7,17,1,False,2024,5,НАО (Новомосковский),Сосенское поселение
https://www.cian.ru/sale/flat/301650895/,8000000,233918,34.2,1,10,0,True,2018,6,НАО (Новомосковский),Коммунарка поселок
https://www.cian.ru/sale/flat/301649878/,6600000,295964,22.3,12,16,0,True,2022,14,НАО (Новомосковский),Десеновское поселение
https://www.cian.ru/sale/flat/301649823/,9650000,275714,35,7,8,1,False,2022,13,НАО (Новомосковский),Филимонковское поселение
https://www.cian.ru/sale/flat/301648688/,23500000,415929,56.5,2,4,2,False,2015,6,НАО (Новомосковский),Коммунарка поселок
https://www.cian.ru/sale/flat/301647718/,26000000,196970,132,5,25,3,False,2009,9,НАО (Новомосковский),Московский
https://www.cian.ru/sale/flat/301647418/,13000000,236364,55,7,16,2,False,2022,16,НАО (Новомосковский),Сосенское поселение
https://www.cian.ru/sale/flat/301646982/,5990000,248548,24.1,9,16,0,True,2022,18,НАО (Новомосковский),Десеновское поселение
https://www.cian.ru/sale/flat/301645571/,20500000,275168,74.5,13,16,3,False,2018,4,НАО (Новомосковский),Московский поселение
https://www.cian.ru/sale/flat/301644948/,5990000,268610,22.3,8,16,0,True,2018,15,НАО (Новомосковский),Десеновское поселение
https://www.cian.ru/sale/flat/301643108/,11500000,264977,43.4,17,19,1,False,2014,7,НАО (Новомосковский),Коммунарка поселок
https://www.cian.ru/sale/flat/301642275/,22000000,379310,58,11,15,3,False,2020,15,НАО (Новомосковский),Московский поселение
https://www.cian.ru/sale/flat/301642163/,19800000,338462,58.5,3,25,2,False,2020,9,НАО (Новомосковский),Московский поселение
https://www.cian.ru/sale/flat/301642107/,10300000,257500,40,6,13,2,False,2023,19,НАО (Новомосковский),Кокошкино поселение
https://www.cian.ru/sale/flat/301640376/,7500000,182927,41,4,8,2,False,2023,12,НАО (Новомосковский),Филимонковское поселение
https://www.cian.ru/sale/flat/301640193/,8199999,198547,41.3,6,7,1,False,2015,20,НАО (Новомосковский),Десеновское поселение
https://www.cian.ru/sale/flat/301640190/,8050000,287500,28,6,17,1,False,2022,18,НАО (Новомосковский),Десеновское поселение
https://www.cian.ru/sale/flat/301640179/,7349000,179814,40.87,4,9,1,False,2022,13,НАО (Новомосковский),Филимонковское поселение
https://www.cian.ru/sale/flat/301640171/,10000000,271003,36.9,11,22,1,False,2020,4,НАО (Новомосковский),Московский поселение
https://www.cian.ru/sale/flat/301640117/,10830000,445679,24.3,10,19,0,True,2022,8,НАО (Новомосковский),Сосенское поселение
https://www.cian.ru/sale/flat/301638586/,7700000,247588,31.1,4,12,2,False,2023,15,НАО (Новомосковский),Рязановское поселение
https://www.cian.ru/sale/flat/301638226/,10190000,178615,57.05,4,12,3,False,2021,18,НАО (Новомосковский),Десеновское поселение
